TrumpGen,TrumpAbort,SCGen,SCAbort,BidenGen,BidenAbort,religion,bornagain,CRS1,CRS2,CRS3,CRS4,CRS5,AbortionWrong,AbortionMurder,AbortionRape,AbortionHealth,AbortionDefect,AbortionWant,AbortionAll,AbortionWait,AbortionUltrasound,PolAffiliate,IdeologySocial,IdeologyEconomy,IdeologySecurity,vote2020,Acheck3,abortion_score_5pt,abortion_group
4,3,4,2,3,4,1,0,2,5,3,5,2,7,4,7,7,7,6,7,4,7,2,5,1,2,8,1,3.891474299784549,pro-choice
3,2,3,2,3,2,1,0,1,4,3,5,3,5,6,5,6,4,4,5,4,4,6,4,3,3,1,1,3.147368421052631,pro-life
3,3,5,5,1,1,2,2,2,3,4,3,1,6,6,6,4,1,1,1,6,7,3,4,2,4,4,3,2.0416743613419515,pro-life
2,1,4,1,1,1,1,0,4,4,1,3,4,1,1,7,7,7,7,7,4,4,5,5,4,3,8,1,4.73961218836565,pro-choice
5,5,3,2,1,1,1,0,3,5,4,3,3,7,7,1,1,1,1,7,7,6,2,2,1,3,8,2,1.4327485380116955,pro-life
3,3,4,4,1,1,9,0,1,3,1,1,2,3,3,7,7,6,3,2,6,7,2,3,2,1,8,1,3.5053862726992913,neutral
4,4,5,5,3,4,5,0,3,3,2,2,2,5,4,7,7,3,7,6,6,5,2,3,3,2,8,1,3.731548168667281,pro-choice
2,1,3,2,3,3,9,0,2,1,1,1,1,1,1,7,7,7,7,6,1,1,7,7,5,5,8,1,4.9345029239766065,pro-choice
1,1,4,1,1,1,1,0,3,4,3,3,4,1,1,7,7,7,7,7,4,4,3,5,4,3,8,1,4.73961218836565,pro-choice
3,3,4,4,3,3,1,0,4,5,3,3,4,7,7,4,7,1,2,1,7,7,2,6,2,3,8,1,2.030594028931979,pro-life
2,1,3,2,2,3,1,0,2,4,3,2,3,6,2,7,6,6,6,6,2,6,3,5,2,5,8,1,4.016189596799014,pro-choice
2,3,4,4,1,2,1,0,4,5,4,5,5,6,7,7,7,1,1,1,7,4,3,5,1,3,8,1,2.452016004924592,pro-life
2,1,3,2,3,3,7,0,3,2,2,2,2,2,1,7,7,4,6,7,4,7,6,5,5,4,8,3,4.255894121268081,pro-choice
4,4,4,4,4,4,1,0,2,5,3,3,3,3,4,7,7,2,4,2,5,5,4,4,4,4,8,1,3.3357340720221598,neutral
4,4,4,4,2,2,2,2,3,4,4,3,4,6,6,6,5,4,4,2,6,6,2,3,3,3,8,1,2.7110495537088326,pro-life
2,2,4,2,3,3,1,0,3,5,4,3,3,4,4,6,6,6,6,6,4,4,5,4,4,4,8,1,3.8588488765774076,pro-choice
